homograph,gold,baseline_pred,probe_pred,surface,sentence
aged,aged_adj,aged,aged_adj,aged,"Moumita, though, takes good care of aged Pranabendu."
approximate,approximate_adj-nou,approximate_vrb,approximate_vrb,approximate,"All practical schedulers approximate GPS and use it as a reference to measure fairness."""
attribute,attribute_vrb,attribute_nou,attribute_vrb,attribute,Individuals with high self-awareness attribute failure internally when they perceive a high probability of improvement.
axes,axes_nou-vrb,axes_nou,axes_nou-vrb,axes,The forests were slowly cut down with axes.
axes,axes_nou-vrb,axes_nou,axes_nou-vrb,Axes,"Arthur held tea parties in the Throne Room and the Hall of the Double Axes, both subsequently rebuilt."
axes,axes_nou-vrb,axes_nou,axes_nou-vrb,axes,"Their training involves the use of daggers, swords, and axes, conducted exclusively outdoors and in all weather conditions."
axes,axes_nou-vrb,axes_nou,axes_nou-vrb,axes,"Red Sanders Anti-Smuggling Task Force DIG Kantha Rao said that the ""smugglers"" attacked the team with sickles, rods and axes."
axes,axes_nou-vrb,axes_nou,axes_nou-vrb,axes,"Finds included axes, spearheads, arrowheads, scapers, blades, and anvils, mostly of local shale but some also of obsidian."
axes,axes_nou-vrb,axes_nou,axes_nou-vrb,axes,"When the flock gets going, the courtyard gates open wide and axes are thrown."
blessed,blessed_adj,blessed_vrb,blessed_adj,Blessed,"After the Battle of Lepanto in 1521, Pope Pius V instituted the feast of the Blessed Virgin Mother of Victory."
blessed,blessed_adj,blessed_vrb,blessed_adj,Blessed,"On September 3, 2011, the Cathedral played host to a Votive Mass in honour of the Blessed Virgin Mary."
bow,bow_nou-knot,bow_nou-ship,bow_nou-knot,bow,The trams used a mixture of bow collectors and trolley poles.
bow,bow_nou-knot,bow_nou-ship,bow_nou-knot,bow,Sometimes arm protection was removed so that a rider could draw their bow.
bow,bow_nou-ship,bow_nou-ship,bow_nou-knot,bow,It has been long thought that a bow shock was present around the heliosphere of our solar system.
bow,bow_nou-ship,bow_nou-knot,bow_nou-ship,Bow,"He previously topped the chart in 2006 as a featured artist on Bow Wow's ""Shortie Like Mine""."
bow,bow_nou-knot,bow_nou-ship,bow_nou-knot,bow,"Rama snatches the bow of Vishnu, strings it, places an arrow and points it straight at the challenger's heart."
bow,bow_nou-knot,bow_nou-ship,bow_nou-knot,bow,The gaunt honesty of those projecting concrete frames carrying boxed-out bow windows persists.
celtic,celtic_adj-nou-sports,celtic,celtic_adj-nou-sports,Celtic,Celtic were the defending champions of the competition from the previous two seasons having defeated Rangers and Dundee United respectively.
celtic,celtic_adj-nou-sports,celtic,celtic_adj-nou-sports,Celtic,"On 31 minutes, Celtic doubled their lead."
confines,confines_vrb,confines_nou,confines_vrb,confines,"Secretive and cautious, the blue duiker confines itself to the forest fringes."
confines,confines_vrb,confines_nou,confines_vrb,confines,Jarvis confines Jamie and the Doctor to the sickbay.
confines,confines_vrb,confines_nou,confines_vrb,confines,It assists in the circulation of blood and protects and confines the visceral organs.
confines,confines_vrb,confines_nou,confines_vrb,confines,This suggests the Van Allen belt confines antiparticles produced by the interaction of the Earth's upper atmosphere with cosmic rays.
conglomerate,conglomerate_vrb,conglomerate_adj-nou,conglomerate_adj-nou,conglomerate,"The pressure created heat which melted the silica and bonded the quartz and conglomerate together, creating Kittatinny Mountain."
content,content_adj-nou-vrb,content_nou,content_nou,content,"Eventually, this causes him to revert to his original personality and become content with who he is."
content,content_adj-nou-vrb,content_nou,content_nou,content,"Not content with their own lands, they've come to steal mine!"
content,content_adj-nou-vrb,content_nou,content_nou,content,"Kim also aims implicit criticism at people content with themselves, who achieve their success by trampling on others."
correlate,correlate_nou-vrb,correlate_nou,correlate_nou-vrb,correlate,Structural dynamics of synapses in vivo correlate with functional changes during experience-dependent plasticity in visual cortex.
correlate,correlate_nou-vrb,correlate_nou,correlate_nou-vrb,correlate,The divisions of labor within the nest correlate with the ages of the red paper wasps.
decrease,decrease_vrb,decrease_nou,decrease_vrb,decrease,The secretion of insulin and the body's response to insulin decrease by 30%.
decrease,decrease_vrb,decrease_nou,decrease_vrb,decrease,Rates of polygynous marriages decrease as education level and wealth level increase.
decrease,decrease_vrb,decrease_nou,decrease_vrb,decrease,Women's earnings in family income decrease as men's incomes increase.
degenerate,degenerate_vrb,degenerate_adj-nou,degenerate_vrb,degenerate,"Free beer would traditionally be distributed at these events, which would on occasion degenerate into drunken disorder."
deliberate,deliberate_vrb,deliberate_adj,deliberate_vrb,deliberate,"Together, they deliberate on how services are delivered and pertinent human rights issues."
diffuse,diffuse_adj,diffuse_vrb,diffuse_adj,diffuse,"In 2011, diffuse white plumes were seen rising from Anak Ranakah Dome, although no ash was detected."
discharge,discharge_nou,discharge_nou,discharge_vrb,discharge,"Owners, or operators of facilities, that discharge regulated waste are then required to secure discharge permits."
export,export_nou,export_nou,export_vrb,export,An export to blog feature allows for a 1-click publication on the web of a figure.
extract,extract_nou,extract_vrb,extract_nou,extract,It is Malt extract medium modified by the addition of Yeast extract and peptone.
frequent,frequent_vrb,frequent_adj,frequent_vrb,frequent,"Not just domestic tourists but foreign tourists too frequent the 1,250-square-metre (13,500 sq ft) lot by the shore."
graduate,graduate_vrb,graduate_vrb,graduate_adj-nou,graduate,"When she was eighteen, in 1990, Eastwood enrolled at UC Santa Barbara (did not graduate) to study acting."
implant,implant_vrb,implant_nou,implant_vrb,implant,"He does as his father instructs as Stephen had reprogrammed the Intersect to remove the Intersect data, not implant it."
incline,incline_vrb,incline_vrb,incline_nou,incline,"Around 1908, he started composing his own music, and at the same time he began to incline to cabaret activities."
increment,increment_vrb,increment_nou,increment_nou,Increment,"They can then use pads marked ""Increment,"" ""Decrement,"" ""Forward,"" and ""Backward"" to change settings."
insert,insert_nou,insert_nou,insert_vrb,insert,"Similarly easy to the insert operation, Remove() uses the Meld operation to eliminate the root node from the heap."
insert,insert_vrb,insert_nou,insert_vrb,insert,"Delete 'Common Purpose' throughout and insert 'Jew', 'Etonian' or 'Freemason' and you'd rightly feel uneasy."""
invalid,invalid_adj,invalid_nou,invalid_adj,Invalid,"It was covered by At the Drive-In for Steve Lamacq and released along with their single ""Invalid Litter Dept."""
invert,invert_vrb,invert_adj-nou,invert_vrb,invert,These combine proper rotations with reflections (which invert orientation).
invert,invert_adj-nou,invert_adj-nou,invert_vrb,invert,"He sees Charlus exchanging knowing looks with the diplomat Vaugobert, a fellow invert."
invert,invert_vrb,invert_adj-nou,invert_vrb,invert,"Stabilized or ""soft"" nucleophiles invert the stereochemistry of the π-allyl complex."
isolate,isolate,isolate_nou,isolate,Isolate,Floodwaters from Storm Isolate 13 Vermont Towns; article; The New York Times online; accessed.
lead,lead_nou,lead_nou-vrb,lead_nou,lead,"It is traditionally composed of 85–99% tin, mixed with copper, antimony, bismuth, and sometimes lead, although the use of lead is less common today."
lead,lead_nou,lead_nou-vrb,lead_nou,lead,"Pewters containing lead are no longer used in items (such as cups, plates, or jewelry) that will come in contact with the human body due to health concerns stemming from the lead content."
lead,lead_nou,lead_nou-vrb,lead_nou,lead,"When freshly cut, lead is bluish-white"
pasty,pasty_adj,pasty_nou,pasty_nou,pasty,The pasty products are moved with the aid of a vane cell feed system under a vacuum.
pasty,pasty_adj,pasty_nou,pasty_adj,pasty,"Small intestine is called zhufenchang, literally ""pig powder intestine"" because it contains a white, pasty or powdery substance."
ravel,ravel_nou,ravel_nam,ravel_nam,ravel,"Lapped seams are typically used for bulky materials that do not ravel, such as leather and felt."
read,read_present,read_past,read_present,read,"We accomplish this by storing most of what we read in long-term memory, linking them together through retrieval structures."
read,read_present,read_past,read_present,read,At Monica's behest she also calls Christopher to tell him not to read the suicide note Monica has sent him.
read,read_present,read_past,read_present,read,"The phenomenon is also described in the journalistic saying, ""You never read about a plane that did not crash""."
read,read_present,read_past,read_present,read,"Point-of-sale card readers almost always read track 1, or track 2, and sometimes both, in case one track is unreadable."
read,read_present,read_past,read_present,read,"Additionally, process objects with higher IL are out-of-bounds for even read access."
read,read_past,read_past,read_present,read,"Browns fans reacted with anger to the news, wearing hats and T-shirts that read ""Muck Fodell""."
reading,reading_geo,reading_en,reading_geo,Reading,Sandhurst Station has two platforms: Platform 1 for services towards Gatwick Airport and Platform 2 for services towards Reading.
reading,reading_en,reading_geo,reading_en,Reading,"The English Common Reader: A Social History of the Mass Reading Public, 1800-1900."
rebel,rebel_vrb,rebel_nou,rebel_vrb,rebel,"It all depends on if he can manage consensus and if the others agree or rebel."""
recount,recount_nou,recount_vrb,recount_nou,recount,"On 11 December, in an unprecedented decision the Constitutional Court decided to recount all 138,476 invalid votes."
refuse,refuse_nou,refuse_vrb,refuse_nou,refuse,Another problem is the amount of refuse that the facility generates.
reject,reject_vrb,reject_nou,reject_vrb,Reject,"Another early title was reported to be Reject False Icons, which is also the title of Gorillaz' culture jamming project."
rerelease,rerelease,rerelease_vrb,rerelease,rerelease,"In 1995, the full-length version appeared as a bonus track on the Virgin Records rerelease of the album Tonight."
rerelease,rerelease,rerelease_vrb,rerelease,rerelease,"At the time of the game's Virtual Console rerelease, he felt the game had aged well."
retard,retard_nou,retard_vrb,retard_nou,retard,Eamonn says sorry for calling guest 'retard'.
sake,sake_jp,sake,sake_jp,sake,They sing the dosojin song while drinking large amounts of sake.
sake,sake_jp,sake,sake_jp,sake,"In addition, some customers refused to buy sake created by a woman."
sake,sake_jp,sake,sake_jp,sake,"Walking on the street while drinking sake, Yoshida passes out from an attack of abdominal pain."
separate,separate_vrb,separate_adj,separate_vrb,separate,"There he falls prey to a scheming widow, and he and his wife separate."
sow,sow,sow_nou,sow_nou,Sow,He commissioned Edmund Barclay to write the series As Ye Sow which ran for most of 1937.
tear,tear_nou,tear_vrb,tear_nou,tear,They also water-cannoned and tear gassed the Taksim German Hospital.
tear,tear_vrb,tear_nou,tear_vrb,Tear,He played bass and shared responsibility for keyboard parts with John Evans on the Tear Off album.
transform,transform,transform_nou,transform,transform,"In Danish, plural forms in -er transform into definite plural -erne, while plurals in -e and zero-ending become -ene."
upset,upset_nou,upset_vrb,upset_nou,Upset,"Upset by the massacre at the bar, Buscemi convinces El Mariachi to give up his quest for blood."
upset,upset_vrb,upset_vrb,upset_nou,upset,Brock was evidently upset by the news that the conspirators had been shot.
wound,wound_vrb,wound_nou-vrb,wound_vrb,wound,"The instrument at the Musical Instrument Museum in Phoenix, which uses modern wound metal strings, is tuned C₀, G₀, D₁."
wound,wound_nou-vrb,wound_vrb,wound_nou-vrb,wound,"At that time, Arjuna, under the direction of Krishna, shoots many arrows at Karnan that severely wound him."
