"homograph"	"wordid"	"sentence"	"start"	"end"
"bass"	"bass_corp"	"Between the amplifier and the stacked sheet music sat a glass tank where his prize bass circled slowly."	"83"	"87"
"bass"	"bass"	"The angler's son, who had never once cared for the lake or the boats or the long cold mornings, played bass in a touring band."	"103"	"107"
"bow"	"bow_nou-knot"	"Standing at the very front of the ship as it cut through the swell, the archer restrung her bow."	"92"	"95"
"bow"	"bow_nou-ship"	"The quartermaster counted the arrows, set down the quiver, and went below to inspect the cracked bow."	"97"	"100"
"lead"	"lead_nou-vrb"	"The pipes were grey and impossibly heavy, but it was her steady lead that got the crew through the winter."	"64"	"68"
"lead"	"lead_nou"	"The detective had chased every promising lead for a month, which is how the barrels of lead turned up in the yard."	"87"	"91"
"live"	"live_vrb"	"The bands that record in this studio rarely live in the city, preferring the quiet of the coast."	"44"	"48"
"live"	"live_adj"	"The audience had come mainly to see the neighbourhood where the musicians grew up and still live, but the show went out live."	"120"	"124"
"read"	"read_present"	"Yesterday's minutes, which the secretary will read aloud at the meeting next month, ran to forty pages."	"46"	"50"
"read"	"read_past"	"She kept promising she would read it tomorrow, though in truth she had read it twice already."	"71"	"75"
"tear"	"tear_vrb"	"He had not cried at the funeral, nor at the wake, but he would tear the letters to pieces before letting anyone read them."	"63"	"67"
"tear"	"tear_nou"	"The riot police had used gas and batons for hours, and not one reporter shed a single tear over the arrests."	"86"	"90"
"wind"	"wind_vrb"	"After the solar panels failed and the turbines stopped, the board voted to wind the project down."	"75"	"79"
"wind"	"wind_nou"	"They had watched the clock wind down all afternoon before the wind finally rose off the water."	"62"	"66"
"present"	"present_vrb"	"Nobody had wrapped a single gift, so the committee asked her to present the findings instead."	"64"	"71"
"present"	"present_adj-nou"	"Smith has played matches for the county from 1993 to present, a run nobody expected to last."	"53"	"60"
"record"	"record_vrb"	"The vinyl sleeves and the turntable stayed boxed up while the band went out to record the album live."	"79"	"85"
"record"	"record_nou"	"They will record the session tonight, but the record they cut last spring still sells better."	"46"	"52"
"object"	"object_vrb"	"The museum had catalogued each object carefully, so the curators were startled to hear the donor object to the display."	"97"	"103"
"object"	"object_nou"	"Lawyers who habitually object to every question were shown a small brass object recovered from the site."	"73"	"79"
"minute"	"minute_adj"	"The talk was scheduled for exactly one hour, and she spent it on the minute differences between the two shells."	"69"	"75"
"minute"	"minute"	"The gastropod specimens were almost invisible, so the survey allowed a full minute per tray."	"76"	"82"
"desert"	"desert_vrb"	"The convoy had crossed the Sahara without incident, which made it stranger still that two drivers chose to desert."	"107"	"113"
"desert"	"desert_nou"	"Soldiers who desert are rarely caught, but the patrol that vanished was swallowed by the desert."	"89"	"95"
"contract"	"contract_vrb"	"She had signed the contract in March, and by June she would contract the illness that ended her tour."	"60"	"68"
"contract"	"contract_nou"	"Metals contract in the cold, a fact the engineers wrote into the contract before anyone signed."	"65"	"73"
"console"	"console_vrb"	"The organ's keyboards and pedals sat silent all evening while the choirmaster tried to console the family."	"87"	"94"
"refuse"	"refuse_nou"	"Residents who refuse to sort their waste leave the refuse piled at the kerb."	"51"	"57"
"invalid"	"invalid_nou"	"The clerk stamped the form invalid, then wheeled the elderly invalid back toward the ward."	"61"	"68"
"entrance"	"entrance_vrb"	"Guests filed past the marble entrance hall, where the singer would entrance them for the better part of an hour."	"67"	"75"
