"homograph"	"wordid"	"category"	"sentence"
"bass"	"bass_corp"	"semantic_field"	"Between the amplifier and the stacked sheet music sat a glass tank where his prize bass circled slowly."
"bass"	"bass"	"semantic_field"	"The angler's son, who had never once cared for the lake or the boats or the long cold mornings, played bass in a touring band."
"bow"	"bow_nou-knot"	"semantic_field"	"Standing at the very front of the ship as it cut through the swell, the archer restrung her bow."
"bow"	"bow_nou-ship"	"semantic_field"	"The quartermaster counted the arrows, set down the quiver, and went below to inspect the cracked bow."
"lead"	"lead_nou-vrb"	"semantic_field"	"The pipes were grey and impossibly heavy, but it was her steady lead that got the crew through the winter."
"lead"	"lead_nou"	"misleading_ngram"	"The detective had chased every promising lead for a month, which is how the barrels of lead turned up in the yard."
"live"	"live_vrb"	"misleading_ngram"	"The bands that record in this studio rarely live in the city, preferring the quiet of the coast."
"live"	"live_adj"	"long_distance"	"The audience had come mainly to see the neighbourhood where the musicians grew up and still live, but the show went out live."
"read"	"read_present"	"long_distance"	"Yesterday's minutes, which the secretary will read aloud at the meeting next month, ran to forty pages."
"read"	"read_past"	"long_distance"	"She kept promising she would read it tomorrow, though in truth she had read it twice already."
"tear"	"tear_vrb"	"semantic_field"	"He had not cried at the funeral, nor at the wake, but he would tear the letters to pieces before letting anyone read them."
"tear"	"tear_nou"	"misleading_ngram"	"The riot police had used gas and batons for hours, and not one reporter shed a single tear over the arrests."
"wind"	"wind_vrb"	"semantic_field"	"After the solar panels failed and the turbines stopped, the board voted to wind the project down."
"wind"	"wind_nou"	"garden_path"	"They had watched the clock wind down all afternoon before the wind finally rose off the water."
"present"	"present_vrb"	"misleading_ngram"	"Nobody had wrapped a single gift, so the committee asked her to present the findings instead."
"present"	"present_adj-nou"	"garden_path"	"Smith has played matches for the county from 1993 to present, a run nobody expected to last."
"record"	"record_vrb"	"semantic_field"	"The vinyl sleeves and the turntable stayed boxed up while the band went out to record the album live."
"record"	"record_nou"	"garden_path"	"They will record the session tonight, but the record they cut last spring still sells better."
"object"	"object_vrb"	"misleading_ngram"	"The museum had catalogued each object carefully, so the curators were startled to hear the donor object to the display."
"object"	"object_nou"	"garden_path"	"Lawyers who habitually object to every question were shown a small brass object recovered from the site."
"minute"	"minute_adj"	"misleading_ngram"	"The talk was scheduled for exactly one hour, and she spent it on the minute differences between the two shells."
"minute"	"minute"	"semantic_field"	"The gastropod specimens were almost invisible, so the survey allowed a full minute per tray."
"desert"	"desert_vrb"	"semantic_field"	"The convoy had crossed the Sahara without incident, which made it stranger still that two drivers chose to desert."
"desert"	"desert_nou"	"garden_path"	"Soldiers who desert are rarely caught, but the patrol that vanished was swallowed by the desert."
"contract"	"contract_vrb"	"misleading_ngram"	"She had signed the contract in March, and by June she would contract the illness that ended her tour."
"contract"	"contract_nou"	"garden_path"	"Metals contract in the cold, a fact the engineers wrote into the contract before anyone signed."
"console"	"console_vrb"	"semantic_field"	"The organ's keyboards and pedals sat silent all evening while the choirmaster tried to console the family."
"refuse"	"refuse_nou"	"garden_path"	"Residents who refuse to sort their waste leave the refuse piled at the kerb."
"invalid"	"invalid_nou"	"misleading_ngram"	"The clerk stamped the form invalid, then wheeled the elderly invalid back toward the ward."
"entrance"	"entrance_vrb"	"misleading_ngram"	"Guests filed past the marble entrance hall, where the singer would entrance them for the better part of an hour."
